Date,Tool/Service,Amount (INR),Purpose/Business Use,Payment Mode,Notes
2024-01-15,Talkwalker Social Listening,25000,Market research for metabolic health awareness campaigns,Debit Card,Annual plan paid quarterly (~₹25k/month equivalent)
2024-01-20,Zoho Social (Standard),800,Social media scheduling for clinic outreach,UPI,Basic plan for 3 platforms
2024-01-25,SEMrush Keyword Research,2500,SEO optimization for diabetes/metabolism content,UPI,Monthly subscription
2024-02-15,Talkwalker Social Listening,25000,Continued audience sentiment analysis for Telugu/English content,Debit Card,Quarterly payment
2024-02-20,Zoho Social (Standard),800,Weekly social media calendar management,UPI,Auto-renewal
2024-02-25,SEMrush Keyword Research,2500,Local SEO for Gachibowli/Godavarikhani clinics,UPI,Auto-renewal
2024-03-15,Talkwalker Social Listening,25000,Tracking campaign performance for metabolic reversal messaging,Debit Card,Quarterly payment
2024-03-20,Zoho Social (Standard),800,Content distribution across Instagram/FB/YouTube,UPI,Auto-renewal
2024-03-25,SEMrush Keyword Research,2500,Keyword expansion for Telugu health content,UPI,Auto-renewal
2024-04-10,Motion Task Management,1500,Content calendar & team task coordination,UPI,Annual plan (~₹1.5k/month)
2024-04-15,Talkwalker Social Listening,25000,Quarterly audience insights for patient education,UPI,Quarterly payment
2024-04-20,Zoho Social (Standard),800,Social media analytics for engagement tracking,UPI,Auto-renewal
2024-05-15,Talkwalker Social Listening,25000,Monitoring competitor health clinic messaging,UPI,Quarterly payment
2024-05-20,Zoho Social (Standard),800,Weekly patient education content scheduling,UPI,Auto-renewal
2024-06-15,Talkwalker Social Listening,25000,Pre-monsoon campaign audience targeting,UPI,Quarterly payment
2024-06-20,Zoho Social (Standard),800,Summer health awareness campaign distribution,UPI,Auto-renewal
2024-07-15,Talkwalker Social Listening,25000,Monsoon health campaign sentiment analysis,UPI,Quarterly payment
2024-07-20,Zoho Social (Standard),800,Monsoon campaign scheduling,UPI,Auto-renewal
2024-08-15,Talkwalker Social Listening,25000,Festival season health awareness targeting,UPI,Quarterly payment
2024-08-20,Zoho Social (Standard),800,Festival campaign content distribution,UPI,Auto-renewal
2024-09-15,Talkwalker Social Listening,25000,Pre-winter metabolic health campaign,UPI,Quarterly payment
2024-09-20,Zoho Social (Standard),800,Seasonal content calendar management,UPI,Auto-renewal
2024-10-15,Talkwalker Social Listening,25000,API Khammam conference audience prep,UPI,Quarterly payment
2024-10-20,Zoho Social (Standard),800,Conference promotion & follow-up content,UPI,Auto-renewal
2024-11-15,Talkwalker Social Listening,25000,Year-end health screening campaign,UPI,Quarterly payment
2024-11-20,Zoho Social (Standard),800,Year-end campaign scheduling,UPI,Auto-renewal
2024-12-15,Talkwalker Social Listening,25000,Annual audience insights compilation,UPI,Quarterly payment
2024-12-20,Zoho Social (Standard),800,Year-end patient engagement,UPI,Auto-renewal
2025-01-15,Talkwalker Social Listening,25000,New year metabolic health campaign,UPI,Quarterly payment
2025-01-20,Zoho Social (Standard),800,New year content calendar,UPI,Auto-renewal
2025-02-15,Talkwalker Social Listening,25000,Valentine's health awareness (couples screening),UPI,Quarterly payment
2025-02-20,Zoho Social (Standard),800,February campaign scheduling,UPI,Auto-renewal
